Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34212771,09/01/2016 12:00:06 AM,09/01/2016 06:02:10 AM,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11413,137-47 CARSON STREET,CARSON STREET,137 ROAD,138 AVENUE,,,ADDRESS,SPRINGFIELD GARDENS,,Precinct,Closed,09/01/2016 08:00:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 06:02:10 AM,13 QUEENS,QUEENS,1052223,185368,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67520813178531,-73.75494944502233,"(40.67520813178531, -73.75494944502233)"
34212392,09/01/2016 12:00:35 AM,09/02/2016 04:53:48 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10469,943 EAST 217 STREET,EAST 217 STREET,BRONXWOOD AVENUE,PAULDING AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2016 08:00:35 AM,The Police Department reviewed your complaint and provided additional information below.,09/02/2016 04:53:49 PM,12 BRONX,BRONX,1023875,259913,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87998640855491,-73.85670741555177,"(40.87998640855491, -73.85670741555177)"
34214520,09/01/2016 12:00:37 AM,09/01/2016 01:05:43 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11369,98-02 25 AVENUE,25 AVENUE,98 STREET,99 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,09/01/2016 08:00:37 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 01:05:43 AM,03 QUEENS,QUEENS,1019812,217879,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76463242381882,-73.87162284918391,"(40.76463242381882, -73.87162284918391)"
34212483,09/01/2016 12:00:54 AM,09/01/2016 03:15:32 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,1017 EAST 226 STREET,EAST 226 STREET,PAULDING AVENUE,LACONIA AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2016 08:00:54 AM,The Police Department issued a summons in response to the complaint.,09/01/2016 03:15:32 AM,12 BRONX,BRONX,1025510,261946,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.885558858976104,-73.85078238918491,"(40.885558858976104, -73.85078238918491)"
34214231,09/01/2016 12:01:15 AM,09/06/2016 09:27:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10040,4700 BROADWAY,BROADWAY,ARDEN STREET,DONGAN PLACE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Transportation inspected this complaint and found that the problem was fixed.,09/06/2016 09:27:00 AM,12 MANHATTAN,MANHATTAN,1003750,254115,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.864140093130686,-73.92950060219349,"(40.864140093130686, -73.92950060219349)"
34223410,09/01/2016 12:02:00 AM,09/01/2016 11:33:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10031,,,,,BROADWAY,WEST 135 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/01/2016 11:33:00 AM,09 MANHATTAN,MANHATTAN,996684,238064,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.820097574803015,-73.95507644617044,"(40.820097574803015, -73.95507644617044)"
34219357,09/01/2016 12:02:00 AM,09/02/2016 12:00:00 PM,DSNY,BCC - Queens East,Sanitation Condition,12 Dead Animals,Sidewalk,11365,180-15 64 AVENUE,64 AVENUE,UTOPIA PARKWAY,181 STREET,,,ADDRESS,Fresh Meadows,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,09/02/2016 12:00:00 PM,08 QUEENS,QUEENS,1041679,208204,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73796206550144,-73.79276687084037,"(40.73796206550144, -73.79276687084037)"
34211394,09/01/2016 12:02:03 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11103,,,,,STEINWAY STREET,30 AVENUE,INTERSECTION,ASTORIA,,N/A,Assigned,10/17/2016 08:32:42 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,09/02/2016 08:33:07 AM,01 QUEENS,QUEENS,1007798,217595,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.76389308093824,-73.91499378600639,"(40.76389308093824, -73.91499378600639)"
34217294,09/01/2016 12:02:07 AM,09/01/2016 03:46:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2685 GRAND CONCOURSE,GRAND CONCOURSE,EAST KINGSBRIDGE ROAD,EAST 196 STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2016 08:02:07 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,09/01/2016 03:46:46 AM,07 BRONX,BRONX,1013623,255108,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86683824468553,-73.89380189150275,"(40.86683824468553, -73.89380189150275)"
34213164,09/01/2016 12:03:16 AM,09/01/2016 03:46:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11222,284 DRIGGS AVENUE,DRIGGS AVENUE,ECKFORD STREET,LEONARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:03:16 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2016 03:46:39 AM,01 BROOKLYN,BROOKLYN,998402,202531,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7225662037401,-73.94894420645994,"(40.7225662037401, -73.94894420645994)"
